Nakshatra_date;Nakshatra_text;Nakshatra_time
12.02.2023;Vishakha;23:56
14.02.2023;Anuradha - 0:04;Jyeshtha - 23:30
14.02.2023;Jyeshtha;23:30
15.02.2023;Moola;22:14
16.02.2023;Poorvashadha;20:21
17.02.2023;Uttarashadha;17:57
18.02.2023;Shravana;15:11
19.02.2023;Dhanishta;12:13
20.02.2023;Shatabhishak;09:16
21.02.2023;Poorvabhadra;06:30
22.02.2023;Uttarabhadra;04:08
23.02.2023;Revati;02:20
24.02.2023;Ashwini;01:14
25.02.2023;Bharani;00:57
26.02.2023;Krittika;01:29
27.02.2023;Rohini;02:48
28.02.2023;Mrigasira;04:49
01.03.2023;Ardra;07:22
02.03.2023;Punarvasu;10:13
03.03.2023;Pushya;13:13
04.03.2023;Ashlesha;16:11
05.03.2023;Magha;18:59
06.03.2023;Poorva Phalg.;21:34
07.03.2023;Uttara Phalg.;23:51
09.03.2023;Hasta;01:49
10.03.2023;Chitra;03:26
11.03.2023;Swati;04:40
12.03.2023;Vishakha;05:29
13.03.2023;Anuradha;05:50
14.03.2023;Jyeshtha;05:42
15.03.2023;Moola;05:02
16.03.2023;Poorvashadha;03:53
17.03.2023;Uttarashadha;02:16
18.03.2023;Shravana - 0:15;Dhanishta - 21:58
18.03.2023;Dhanishta;21:58
19.03.2023;Shatabhishak;19:33
20.03.2023;Poorvabhadra;17:09
21.03.2023;Uttarabhadra;14:55
22.03.2023;Revati;13:02
23.03.2023;Ashwini;11:39
24.03.2023;Bharani;10:53
25.03.2023;Krittika;10:49
26.03.2023;Rohini;11:31
27.03.2023;Mrigasira;12:57
28.03.2023;Ardra;15:02
29.03.2023;Punarvasu;17:37
30.03.2023;Pushya;20:29
31.03.2023;Ashlesha;23:26
02.04.2023;Magha;02:18
03.04.2023;Poorva Phalg.;04:53
04.04.2023;Uttara Phalg.;07:05
05.04.2023;Hasta;08:51
06.04.2023;Chitra;10:10
07.04.2023;Swati;11:02
08.04.2023;Vishakha;11:27
09.04.2023;Anuradha;11:29
10.04.2023;Jyeshtha;11:08
11.04.2023;Moola;10:27
12.04.2023;Poorvashadha;09:28
13.04.2023;Uttarashadha;08:12
14.04.2023;Shravana;06:44
16.04.2023;Shatabhishak;03:21
17.04.2023;Poorvabhadra - 1:36;Uttarabhadra - 23:58
17.04.2023;Uttarabhadra;23:58
18.04.2023;Revati;22:31
19.04.2023;Ashwini;21:23
20.04.2023;Bharani;20:41
21.04.2023;Krittika;20:30
22.04.2023;Rohini;20:55
23.04.2023;Mrigasira;21:57
24.04.2023;Ardra;23:37
26.04.2023;Punarvasu;01:50
27.04.2023;Pushya;04:29
28.04.2023;Ashlesha;07:22
29.04.2023;Magha;10:16
30.04.2023;Poorva Phalg.;13:00
01.05.2023;Uttara Phalg.;15:20
02.05.2023;Hasta;17:10
03.05.2023;Chitra;18:25
04.05.2023;Swati;19:04
05.05.2023;Vishakha;19:08
06.05.2023;Anuradha;18:42
07.05.2023;Jyeshtha;17:50
08.05.2023;Moola;16:39
09.05.2023;Poorvashadha;15:15
10.05.2023;Uttarashadha;13:42
11.05.2023;Shravana;12:06
12.05.2023;Dhanishta;10:33
13.05.2023;Shatabhishak;09:05
14.05.2023;Poorvabhadra;07:46
15.05.2023;Uttarabhadra;06:38
16.05.2023;Revati;05:45
17.05.2023;Ashwini;05:09
18.05.2023;Bharani;04:52
19.05.2023;Krittika;04:59
20.05.2023;Rohini;05:33
21.05.2023;Mrigasira;06:35
22.05.2023;Ardra;08:07
23.05.2023;Punarvasu;10:09
24.05.2023;Pushya;12:36
25.05.2023;Ashlesha;15:23
26.05.2023;Magha;18:19
27.05.2023;Poorva Phalg.;21:12
28.05.2023;Uttara Phalg.;23:49
30.05.2023;Hasta;01:58
31.05.2023;Chitra;03:29
01.06.2023;Swati;04:17
02.06.2023;Vishakha;04:22
04.06.2023;Jyeshtha;02:33
05.06.2023;Moola - 0:52;Poorvashadha - 22:52
05.06.2023;Poorvashadha;22:52
06.06.2023;Uttarashadha;20:43
07.06.2023;Shravana;18:32
08.06.2023;Dhanishta;16:28
09.06.2023;Shatabhishak;14:39
10.06.2023;Poorvabhadra;13:09
11.06.2023;Uttarabhadra;12:02
12.06.2023;Revati;11:20
13.06.2023;Ashwini;11:03
14.06.2023;Bharani;11:10
15.06.2023;Krittika;11:42
16.06.2023;Rohini;12:37
17.06.2023;Mrigasira;13:55
18.06.2023;Ardra;15:36
19.06.2023;Punarvasu;17:40
20.06.2023;Pushya;20:06
21.06.2023;Ashlesha;22:51
23.06.2023;Magha;01:47
24.06.2023;Poorva Phalg.;04:48
25.06.2023;Uttara Phalg.;07:40
26.06.2023;Hasta;10:12
27.06.2023;Chitra;12:12
28.06.2023;Swati;13:30
29.06.2023;Vishakha;13:59
30.06.2023;Anuradha;13:39
01.07.2023;Jyeshtha;12:33
02.07.2023;Moola;10:47
03.07.2023;Poorvashadha;08:30
04.07.2023;Uttarashadha;05:54
06.07.2023;Dhanishta - 0:26;Shatabhishak - 21:55
06.07.2023;Shatabhishak;21:55
07.07.2023;Poorvabhadra;19:46
08.07.2023;Uttarabhadra;18:06
09.07.2023;Revati;17:00
10.07.2023;Ashwini;16:29
11.07.2023;Bharani;16:35
12.07.2023;Krittika;17:13
13.07.2023;Rohini;18:22
14.07.2023;Mrigasira;19:57
15.07.2023;Ardra;21:53
17.07.2023;Punarvasu;00:09
18.07.2023;Pushya;02:41
19.07.2023;Ashlesha;05:27
20.07.2023;Magha;08:25
21.07.2023;Poorva Phalg.;11:27
22.07.2023;Uttara Phalg.;14:28
23.07.2023;Hasta;17:16
24.07.2023;Chitra;19:41
25.07.2023;Swati;21:31
26.07.2023;Vishakha;22:38
27.07.2023;Anuradha;22:56
28.07.2023;Jyeshtha;22:23
29.07.2023;Moola;21:03
30.07.2023;Poorvashadha;19:01
31.07.2023;Uttarashadha;16:28
01.08.2023;Shravana;13:32
02.08.2023;Dhanishta;10:28
03.08.2023;Shatabhishak;07:26
05.08.2023;Uttarabhadra;02:14
06.08.2023;Revati;00:25
06.08.2023;Ashwini;23:14
07.08.2023;Bharani;22:47
08.08.2023;Krittika;23:03
09.08.2023;Rohini;23:59
11.08.2023;Mrigasira;01:31
12.08.2023;Ardra;03:32
13.08.2023;Punarvasu;05:56
14.08.2023;Pushya;08:37
15.08.2023;Ashlesha;11:28
16.08.2023;Magha;14:27
17.08.2023;Poorva Phalg.;17:28
18.08.2023;Uttara Phalg.;20:26
19.08.2023;Hasta;23:17
21.08.2023;Chitra;01:51
22.08.2023;Swati;04:01
23.08.2023;Vishakha;05:37
24.08.2023;Anuradha;06:32
25.08.2023;Jyeshtha;06:42
26.08.2023;Moola;06:06
28.08.2023;Uttarashadha;02:44
29.08.2023;Shravana - 0:12;Dhanishta - 21:19
29.08.2023;Dhanishta;21:19
30.08.2023;Shatabhishak;18:16
31.08.2023;Poorvabhadra;15:14
01.09.2023;Uttarabhadra;12:26
02.09.2023;Revati;10:01
03.09.2023;Ashwini;08:09
04.09.2023;Bharani;06:57
05.09.2023;Krittika;06:30
06.09.2023;Rohini;06:50
07.09.2023;Mrigasira;07:55
08.09.2023;Ardra;09:40
09.09.2023;Punarvasu;11:56
10.09.2023;Pushya;14:36
11.09.2023;Ashlesha;17:30
12.09.2023;Magha;20:31
13.09.2023;Poorva Phalg.;23:30
15.09.2023;Uttara Phalg.;02:23
16.09.2023;Hasta;05:05
17.09.2023;Chitra;07:31
18.09.2023;Swati;09:36
19.09.2023;Vishakha;11:17
20.09.2023;Anuradha;12:27
21.09.2023;Jyeshtha;13:04
22.09.2023;Moola;13:03
23.09.2023;Poorvashadha;12:25
24.09.2023;Uttarashadha;11:10
25.09.2023;Shravana;09:23
26.09.2023;Dhanishta;07:11
28.09.2023;Poorvabhadra - 1:58;Uttarabhadra - 23:18
28.09.2023;Uttarabhadra;23:18
29.09.2023;Revati;20:48
30.09.2023;Ashwini;18:39
01.10.2023;Bharani;16:58
02.10.2023;Krittika;15:54
03.10.2023;Rohini;15:33
04.10.2023;Mrigasira;15:59
05.10.2023;Ardra;17:10
06.10.2023;Punarvasu;19:02
07.10.2023;Pushya;21:27
09.10.2023;Ashlesha;00:15
10.10.2023;Magha;03:14
11.10.2023;Poorva Phalg.;06:14
12.10.2023;Uttara Phalg.;09:05
13.10.2023;Hasta;11:40
14.10.2023;Chitra;13:53
15.10.2023;Swati;15:42
16.10.2023;Vishakha;17:04
17.10.2023;Anuradha;18:00
18.10.2023;Jyeshtha;18:29
19.10.2023;Moola;18:32
20.10.2023;Poorvashadha;18:10
21.10.2023;Uttarashadha;17:23
22.10.2023;Shravana;16:13
23.10.2023;Dhanishta;14:43
24.10.2023;Shatabhishak;12:57
25.10.2023;Poorvabhadra;10:59
26.10.2023;Uttarabhadra;08:56
28.10.2023;Ashwini;05:01
29.10.2023;Bharani;03:24
30.10.2023;Krittika;02:11
31.10.2023;Rohini;01:31
01.11.2023;Mrigasira;01:28
02.11.2023;Ardra;02:06
03.11.2023;Punarvasu;03:27
04.11.2023;Pushya;05:27
05.11.2023;Ashlesha;07:59
06.11.2023;Magha;10:52
07.11.2023;Poorva Phalg.;13:53
08.11.2023;Uttara Phalg.;16:49
09.11.2023;Hasta;19:26
10.11.2023;Chitra;21:37
11.11.2023;Swati;23:15
13.11.2023;Vishakha;00:20
14.11.2023;Anuradha;00:52
15.11.2023;Jyeshtha;00:53
16.11.2023;Moola - 0:30;Poorvashadha - 23:46
16.11.2023;Poorvashadha;23:46
17.11.2023;Uttarashadha;22:46
18.11.2023;Shravana;21:36
19.11.2023;Dhanishta;20:18
20.11.2023;Shatabhishak;18:55
21.11.2023;Poorvabhadra;17:31
22.11.2023;Uttarabhadra;16:07
23.11.2023;Revati;14:45
24.11.2023;Ashwini;13:30
25.11.2023;Bharani;12:25
26.11.2023;Krittika;11:35
27.11.2023;Rohini;11:06
28.11.2023;Mrigasira;11:02
29.11.2023;Ardra;11:29
30.11.2023;Punarvasu;12:31
01.12.2023;Pushya;14:10
02.12.2023;Ashlesha;16:24
03.12.2023;Magha;19:06
04.12.2023;Poorva Phalg.;22:05
06.12.2023;Uttara Phalg.;01:07
07.12.2023;Hasta;03:58
08.12.2023;Chitra;06:22
09.12.2023;Swati;08:11
10.12.2023;Vishakha;09:18
11.12.2023;Anuradha;09:42
12.12.2023;Jyeshtha;09:25
14.12.2023;Poorvashadha;07:16
15.12.2023;Uttarashadha;05:40
16.12.2023;Shravana;03:54
17.12.2023;Dhanishta;02:06
18.12.2023;Shatabhishak - 0:24;Poorvabhadra - 22:52
18.12.2023;Poorvabhadra;22:52
19.12.2023;Uttarabhadra;21:32
20.12.2023;Revati;20:28
21.12.2023;Ashwini;19:39
22.12.2023;Bharani;19:06
23.12.2023;Krittika;18:49
24.12.2023;Rohini;18:49
25.12.2023;Mrigasira;19:09
26.12.2023;Ardra;19:51
27.12.2023;Punarvasu;20:59
28.12.2023;Pushya;22:35
30.12.2023;Ashlesha;00:40
31.12.2023;Magha;03:12
01.01.2024;0;06:06
